province,district,type
An Giang,An Phú,
An Giang,Châu Đốc,Thành phố
An Giang,Châu Phú,
An Giang,Châu Thành,
An Giang,Chợ Mới,
An Giang,Long Xuyên,Thành phố
An Giang,Phú Tân,
An Giang,Tân Châu,Thị xã
An Giang,Thoại Sơn,
An Giang,Tịnh Biên,
An Giang,Tri Tôn,
Bà Rịa - Vũng Tàu,Côn Đảo,Huyện đảo
Bà Rịa - Vũng Tàu,Đất Đỏ,
Bà Rịa - Vũng Tàu,Phú Mỹ,Thị xã
Bà Rịa - Vũng Tàu,Vũng Tàu,Thành phố
Bà Rịa - Vũng Tàu,Xuyên Mộc,
Bà Rịa - Vũng Tàu,Bà Rịa,Thành phố
Bà Rịa - Vũng Tàu,Châu Đức,
Bà Rịa - Vũng Tàu,Long Điền,
Bạc Liêu,Bạc Liêu,Thành phố
Bạc Liêu,Đông Hải,
Bạc Liêu,Giá Rai,Thị xã
Bạc Liêu,Hoà Bình,
Bạc Liêu,Hồng Dân,
Bạc Liêu,Phước Long,
Bạc Liêu,Vĩnh Lợi,
Bắc Giang,Bắc Giang,Thành phố
Bắc Giang,Hiệp Hòa,
Bắc Giang,Lạng Giang,
Bắc Giang,Lục Nam,
Bắc Giang,Lục Ngạn,
Bắc Giang,Sơn Động,
Bắc Giang,Tân Yên,
Bắc Giang,Việt Yên,
Bắc Giang,Yên Dũng,
Bắc Giang,Yên Thế,
Bắc Kạn,Ba Bể,
Bắc Kạn,Bạch Thông,
Bắc Kạn,Bắc Kạn,Thành phố
Bắc Kạn,Chợ Đồn,
Bắc Kạn,Chợ Mới,
Bắc Kạn,Na Rì,
Bắc Kạn,Ngân Sơn,
Bắc Kạn,Pác Nặm,
Bắc Ninh,Bắc Ninh,Thành phố
Bắc Ninh,Gia Bình,
Bắc Ninh,Lương Tài,
Bắc Ninh,Quế Võ,
Bắc Ninh,Thuận Thành,
Bắc Ninh,Tiên Du,
Bắc Ninh,Từ Sơn,Thị xã
Bắc Ninh,Yên Phong,
Bến Tre,Ba Tri,
Bến Tre,Bến Tre,Thành phố
Bến Tre,Bình Đại,
Bến Tre,Châu Thành,
Bến Tre,Chợ Lách,
Bến Tre,Giồng Trôm,
Bến Tre,Mỏ Cày Bắc,
Bến Tre,Mỏ Cày Nam,
Bến Tre,Thạnh Phú,
Bình Dương,Bàu Bàng,
Bình Dương,Bắc Tân Uyên,
Bình Dương,Bến Cát,Thị xã
Bình Dương,Dầu Tiếng,
Bình Dương,Dĩ An,Thị xã
Bình Dương,Phú Giáo,
Bình Dương,Tân Uyên,Thị xã
Bình Dương,Thủ Dầu Một,Thành phố
Bình Dương,Thuận An,Thị xã
Bình Định,An Lão,
Bình Định,An Nhơn,Thị xã
Bình Định,Hoài Ân,
Bình Định,Hoài Nhơn,
Bình Định,Phù Cát,
Bình Định,Phù Mỹ,
Bình Định,Quy Nhơn,Thành phố
Bình Định,Tây Sơn,
Bình Định,Tuy Phước,
Bình Định,Vân Canh,
Bình Định,Vĩnh Thạnh,
Bình Phước,Bình Long,Thị xã
Bình Phước,Bù Đăng,
Bình Phước,Bù Đốp,
Bình Phước,Bù Gia Mập,
Bình Phước,Chơn Thành,
Bình Phước,Đồng Phú,
Bình Phước,Đồng Xoài,Thành phố
Bình Phước,Hớn Quản,
Bình Phước,Lộc Ninh,
Bình Phước,Phú Riềng,
Bình Phước,Phước Long,Thị xã
Bình Thuận,Bắc Bình,
Bình Thuận,Đức Linh,
Bình Thuận,Hàm Tân,
Bình Thuận,Hàm Thuận Bắc,
Bình Thuận,Hàm Thuận Nam,
Bình Thuận,La Gi,Thị xã
Bình Thuận,Phan Thiết,Thành phố
Bình Thuận,Phú Quý,Huyện đảo
Bình Thuận,Tánh Linh,
Bình Thuận,Tuy Phong,
Cà Mau,Cà Mau,Thành phố
Cà Mau,Cái Nước,
Cà Mau,Đầm Dơi,
Cà Mau,Năm Căn,
Cà Mau,Ngọc Hiển,
Cà Mau,Phú Tân,
Cà Mau,Thới Bình,
Cà Mau,Trần Văn Thời,
Cà Mau,U Minh,
Cao Bằng,Bảo Lạc,
Cao Bằng,Bảo Lâm,
Cao Bằng,Cao Bằng,Thành phố
Cao Bằng,Hà Quảng,
Cao Bằng,Hạ Lang,
Cao Bằng,Hòa An,
Cao Bằng,Nguyên Bình,
Cao Bằng,Phục Hòa,
Cao Bằng,Quảng Uyên,
Cao Bằng,Thạch An,
Cao Bằng,Thông Nông,
Cao Bằng,Trà Lĩnh,
Cao Bằng,Trùng Khánh,
Cần Thơ,Bình Thủy,Quận
Cần Thơ,Cái Răng,Quận
Cần Thơ,Cờ Đỏ,
Cần Thơ,Ninh Kiều,Quận
Cần Thơ,Ô Môn,Quận
Cần Thơ,Phong Điền,
Cần Thơ,Thốt Nốt,Quận
Cần Thơ,Thới Lai,
Cần Thơ,Vĩnh Thạnh,
Đà Nẵng,Cẩm Lệ,Quận
Đà Nẵng,Hải Châu,Quận
Đà Nẵng,Hòa Vang,
Đà Nẵng,Hoàng Sa,Huyện đảo
Đà Nẵng,Liên Chiểu,Quận
Đà Nẵng,Ngũ Hành Sơn,Quận
Đà Nẵng,Sơn Trà,Quận
Đà Nẵng,Thanh Khê,Quận
Đắk Lắk,Buôn Đôn,
Đắk Lắk,Buôn Hồ,Thị xã
Đắk Lắk,Buôn Ma Thuột,Thành phố
Đắk Lắk,Cư Kuin,
Đắk Lắk,Cư M'gar,
Đắk Lắk,Ea H'leo,
Đắk Lắk,Ea Kar,
Đắk Lắk,Ea Súp,
Đắk Lắk,Krông Ana,
Đắk Lắk,Krông Bông,
Đắk Lắk,Krông Búk,
Đắk Lắk,Krông Năng,
Đắk Lắk,Krông Pắk,
Đắk Lắk,Lắk,
Đắk Lắk,M'Đrăk,
Đăk Nông,Gia Nghĩa,Thị xã
Đăk Nông,Tuy Đức,
Đắk Nông,Cư Jút,
Đắk Nông,Đắk Glong,
Đắk Nông,Đắk Mil,
